Cars,Model,Dist per km,Fuel,Transmission,Registration,EMI Per Month,Sale City,Manufacturing_Year,Reg_State,Other charges,Actual Price in Lakhs,Discounted Price in Lakhs,Car Age,Discount Amount,Discount %,Brand
Hyundai Grand i10, SPORTZ AT 1.2 KAPPA VTVT,52714,Petrol,Auto,GJ-03,7089.0,Ahmedabad,2018,Gujarat,Included,4.52,4.02,8,0.5,11.06,Hyundai
Maruti Swift, VXI,44681,Petrol,Manual,GJ-27,13784.0,Ahmedabad,2013,Gujarat,Included,2.93,2.93,13,0.0,0.0,Maruti
Maruti Baleno, DELTA PETROL 1.2,136849,Petrol,Manual,GJ-12,9343.0,Ahmedabad,2021,Gujarat,Included,4.37,4.2,5,0.17,3.89,Maruti
Hyundai Elite i20, MAGNA PLUS 1.2,72585,Petrol,Manual,GJ-27,7830.0,Ahmedabad,2019,Gujarat,Included,4.44,4.44,7,0.0,0.0,Hyundai
Hyundai VENUE, S+ 1.2,58316,Petrol,Manual,GJ-12,9837.0,Ahmedabad,2022,Gujarat,Included,5.74,5.57,4,0.17,2.96,Hyundai
KIA SELTOS, HTK PLUS 1.5,75184,Petrol,Manual,GJ-12,11514.0,Ahmedabad,2020,Gujarat,Included,7.27,6.52,6,0.75,10.32,KIA
Maruti Swift, ZXI PLUS,79406,Petrol,Manual,GJ-27,9709.0,Ahmedabad,2022,Gujarat,Included,5.5,5.5,4,0.0,0.0,Maruti
Hyundai Elite i20, MAGNA PLUS 1.2,89894,Petrol,Manual,GJ-01,8447.0,Ahmedabad,2020,Gujarat,Included,4.78,4.78,6,0.0,0.0,Hyundai
Maruti Alto 800, LXI,73792,Petrol,Manual,GJ-24,3562.0,Ahmedabad,2018,Gujarat,Included,2.12,2.02,8,0.1,4.72,Maruti
Renault Kwid, RXT 0.8,123083,Petrol,Manual,GJ-27,3239.0,Ahmedabad,2016,Gujarat,Included,1.65,1.46,10,0.19,11.52,Renault
Tata NEXON, XZ PLUS (O) PETROL,86350,Petrol,Manual,GJ-12,10190.0,Ahmedabad,2020,Gujarat,Included,5.89,5.77,6,0.12,2.04,Tata
Tata Tiago, XZ PLUS PETROL,27607,Petrol,Manual,GJ-01,7938.0,Ahmedabad,2022,Gujarat,Included,4.68,4.5,4,0.18,3.85,Tata
Hyundai Grand i10, MAGNA 1.2 KAPPA VTVT,92157,Petrol,Manual,GJ-12,4390.0,Ahmedabad,2018,Gujarat,Included,2.69,2.49,8,0.2,7.43,Hyundai
Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,37642,Petrol,Manual,GJ-01,6708.0,Ahmedabad,2019,Gujarat,Included,4.39,3.8,7,0.59,13.44,Hyundai
Ford Ecosport, TITANIUM 1.5L PETROL,83699,Petrol,Manual,GJ-38,6389.0,Ahmedabad,2018,Gujarat,Included,4.09,3.62,8,0.47,11.49,Ford
Maruti Celerio, VXI AMT,60932,Petrol,Auto,GJ-10,5665.0,Ahmedabad,2017,Gujarat,Included,3.15,2.9,9,0.25,7.94,Maruti
