Cars,Model,Dist,Fuel,Transmission,Registration,EMI,Price,Sale City,Unnamed: 0
2018 Hyundai Grand i10, SPORTZ AT 1.2 KAPPA VTVT,"52,714 km",Petrol,Auto,GJ-03,"EMI ₹7,089/m*",₹4.52L₹4.02 lakh+ other charges,Ahmedabad,
2013 Maruti Swift, VXI,"44,681 km",Petrol,Manual,GJ-27,"EMI ₹13,784/m*",₹2.93 lakh+ other charges,Ahmedabad,
2021 Maruti Baleno, DELTA PETROL 1.2,"1,36,849 km",Petrol,Manual,GJ-12,"EMI ₹9,343/m*",₹4.37L₹4.20 lakh+ other charges,Ahmedabad,
2019 Hyundai Elite i20, MAGNA PLUS 1.2,"72,585 km",Petrol,Manual,GJ-27,"EMI ₹7,830/m*",₹4.44 lakh+ other charges,Ahmedabad,
2022 Hyundai VENUE, S+ 1.2,"58,316 km",Petrol,Manual,GJ-12,"EMI ₹9,837/m*",₹5.74L₹5.57 lakh+ other charges,Ahmedabad,
2020 KIA SELTOS, HTK PLUS 1.5,"75,184 km",Petrol,Manual,GJ-12,"EMI ₹11,514/m*",₹7.27L₹6.52 lakh+ other charges,Ahmedabad,
2022 Maruti Swift, ZXI PLUS,"79,406 km",Petrol,Manual,GJ-27,"EMI ₹9,709/m*",₹5.50 lakh+ other charges,Ahmedabad,
2020 Hyundai Elite i20, MAGNA PLUS 1.2,"89,894 km",Petrol,Manual,GJ-01,"EMI ₹8,447/m*",₹4.78 lakh+ other charges,Ahmedabad,
2018 Maruti Alto 800, LXI,"73,792 km",Petrol,Manual,GJ-24,"EMI ₹3,562/m*",₹2.12L₹2.02 lakh+ other charges,Ahmedabad,
2016 Renault Kwid, RXT 0.8,"1,23,083 km",Petrol,Manual,GJ-27,"EMI ₹3,239/m*",₹1.65L₹1.46 lakh+ other charges,Ahmedabad,
2020 Tata NEXON, XZ PLUS (O) PETROL,"86,350 km",Petrol,Manual,GJ-12,"EMI ₹10,190/m*",₹5.89L₹5.77 lakh+ other charges,Ahmedabad,
2022 Tata Tiago, XZ PLUS PETROL,"27,607 km",Petrol,Manual,GJ-01,"EMI ₹7,938/m*",₹4.68L₹4.50 lakh+ other charges,Ahmedabad,
2018 Hyundai Grand i10, MAGNA 1.2 KAPPA VTVT,"92,157 km",Petrol,Manual,GJ-12,"EMI ₹4,390/m*",₹2.69L₹2.49 lakh+ other charges,Ahmedabad,
2019 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"37,642 km",Petrol,Manual,GJ-01,"EMI ₹6,708/m*",₹4.39L₹3.80 lakh+ other charges,Ahmedabad,
2018 Ford Ecosport, TITANIUM 1.5L PETROL,"83,699 km",Petrol,Manual,GJ-38,"EMI ₹6,389/m*",₹4.09L₹3.62 lakh+ other charges,Ahmedabad,
2017 Maruti Celerio, VXI AMT,"60,932 km",Petrol,Auto,GJ-10,"EMI ₹5,665/m*",₹3.15L₹2.90 lakh+ other charges,Ahmedabad,
2019 Maruti Alto K10, VXI,"48,518 km",Petrol,Manual,GJ-12,"EMI ₹3,763/m*",₹2.38L₹2.13 lakh+ other charges,Ahmedabad,
2017 Renault Kwid, CLIMBER 1.0 AMT,"66,034 km",Petrol,Auto,GJ-03,"EMI ₹4,218/m*",₹2.16 lakh+ other charges,Ahmedabad,
2021 Renault Kwid, RXE,"55,916 km",Petrol,Manual,GJ-09,"EMI ₹4,871/m*",₹3.27L₹2.76 lakh+ other charges,Ahmedabad,
2019 KIA SELTOS, GTK 1.4 PETROL,"80,983 km",Petrol,Manual,GJ-01,"EMI ₹12,191/m*",₹8.77L₹6.91 lakh+ other charges,Ahmedabad,
2017 Hyundai Creta, SX PLUS 1.6 PETROL,"77,726 km",Diesel,Manual,KA-02,"EMI ₹14,423/m*",₹7.38 lakh+ other charges,bangalore,
2016 Renault Kwid, RXT 1.0,"47,758 km",Petrol,Manual,KA-32,"EMI ₹5,161/m*",₹2.66L₹2.32 lakh+ other charges,bangalore,
2018 Maruti Swift, ZXI,"62,641 km",CNG,Manual,KA-05,"EMI ₹9,480/m*",₹5.65L₹5.37 lakh+ other charges,bangalore,
2016 Hyundai Grand i10, 1.2 SPORTZ PRIME EDITION VTVT,"68,576 km",Petrol,Manual,KA-20,"EMI ₹7,118/m*",₹3.88L₹3.20 lakh+ other charges,bangalore,
2021 Hyundai VENUE, SX 1.0 TURBO IMT,"31,386 km",Petrol,Manual,KA-01,"EMI ₹13,151/m*",₹7.59L₹7.45 lakh+ other charges,bangalore,
2024 Maruti Swift, ZXi Plus Dual Tone AMT,"25,054 km",Petrol,Auto,KA-05,"EMI ₹13,434/m*",₹8.40L₹7.61 lakh+ other charges,bangalore,
2019 Maruti Baleno, ZETA CVT PETROL 1.2,"57,289 km",Petrol,Auto,KA-53,"EMI ₹10,521/m*",₹5.96 lakh+ other charges,bangalore,
2023 Hyundai NEW I20, SPORTZ 1.2 MT,"20,334 km",Petrol,Manual,KA-19,"EMI ₹12,148/m*",₹6.88 lakh+ other charges,bangalore,
2019 KIA SELTOS, HTK PLUS 1.5,"86,637 km",Petrol,Manual,KA-04,"EMI ₹12,039/m*",₹7.03L₹6.82 lakh+ other charges,bangalore,
2020 Ford Ecosport, AMBIENTE 1.5L PETROL,"51,929 km",Diesel,Manual,KA-19,"EMI ₹10,574/m*",₹6.30L₹5.99 lakh+ other charges,bangalore,
2016 Maruti Swift, ZXI,"38,175 km",Petrol,Manual,KA-35,"EMI ₹10,566/m*",₹5.24L₹4.75 lakh+ other charges,bangalore,
2020 Hyundai Elite i20, MAGNA PLUS 1.2,"55,623 km",Petrol,Manual,KA-26,"EMI ₹9,196/m*",₹5.21 lakh+ other charges,bangalore,
2017 Datsun Redi Go, T (O),"43,733 km",Petrol,Manual,KA-19,"EMI ₹3,539/m*",₹2.18L₹1.81 lakh+ other charges,bangalore,
2020 Ford Ecosport, TITANIUM + 1.5L PETROL AT,"64,721 km",Petrol,Auto,KA-02,"EMI ₹13,954/m*",₹7.90 lakh+ other charges,bangalore,
2019 Hyundai GRAND I10 NIOS, SPORTZ 1.2 KAPPA VTVT DUAL TONE,"42,493 km",CNG,Manual,KA-25,"EMI ₹8,350/m*",₹4.73 lakh+ other charges,bangalore,
2018 Tata NEXON, XM PETROL,"71,164 km",Petrol,Manual,KA-01,"EMI ₹9,696/m*",₹5.49 lakh+ other charges,bangalore,
2017 Renault Kwid, RXT 1.0,"39,855 km",CNG,Manual,KA-55,"EMI ₹5,083/m*",₹3.12L₹2.60 lakh+ other charges,bangalore,
2018 Hyundai Creta, E PLUS 1.6 PETROL,"54,560 km",Petrol,Manual,KA-51,"EMI ₹12,964/m*",₹7.34 lakh+ other charges,bangalore,
2014 Hyundai i20, SPORTZ 1.2,"60,146 km",Diesel,Manual,KA-04,"EMI ₹8,802/m*",₹2.98L₹2.65 lakh+ other charges,bangalore,
2022 Renault Kwid, CLIMBER 1.0 AMT Dual Tone ,"10,758 km",Petrol,Auto,KA-01,"EMI ₹8,124/m*",₹4.60 lakh+ other charges,bangalore,
2025 Maruti Alto K10, VXi (O),"23,717 km",Petrol,Manual,PB-10,"EMI ₹6,655/m*",₹4.47L₹3.77 lakh+ other charges,Chandigarh,
2015 Renault Kwid, RXL,"57,108 km",Petrol,Manual,PB-12,"EMI ₹3,634/m*",₹1.38 lakh+ other charges,Chandigarh,
2016 Maruti Alto K10, VXI,"74,169 km",Petrol,Manual,PB-30,"EMI ₹4,783/m*",₹2.51L₹2.15 lakh+ other charges,Chandigarh,
2018 Renault Kwid, RXT 1.0 (O),"67,064 km",Petrol,Manual,PB-19,"EMI ₹3,884/m*",₹2.23L₹2.20 lakh+ other charges,Chandigarh,
2016 Hyundai Elite i20, MAGNA 1.2,"87,881 km",Petrol,Manual,PB-65,"EMI ₹8,141/m*",₹4.12L₹3.66 lakh+ other charges,Chandigarh,
2020 Maruti New Wagon-R, VXI 1.2,"83,681 km",Petrol,Manual,HR-03,"EMI ₹5,472/m*",₹4.03L₹3.10 lakh+ other charges,Chandigarh,
2013 Hyundai Eon, MAGNA +,"90,179 km",Petrol,Manual,CH-01,"EMI ₹4,801/m*",₹1.57L₹1.02 lakh+ other charges,Chandigarh,
2019 Tata Tiago, XZ PETROL,"45,295 km",Petrol,Manual,PB-65,"EMI ₹5,649/m*",₹3.33L₹3.20 lakh+ other charges,Chandigarh,
2022 Nissan MAGNITE, XE,"24,263 km",Petrol,Manual,HR-85,"EMI ₹6,673/m*",₹4.26L₹3.78 lakh+ other charges,Chandigarh,
2021 Tata Tiago, XZ PETROL,"49,561 km",Petrol,Manual,PB-10,"EMI ₹6,532/m*",₹4.53L₹3.70 lakh+ other charges,Chandigarh,
2014 Ford Ecosport, AMBIENTE 1.5L PETROL,"74,455 km",Petrol,Manual,PB-02,"EMI ₹7,772/m*",₹3.34L₹2.34 lakh+ other charges,Chandigarh,
2021 Maruti Baleno, DELTA PETROL 1.2,"32,472 km",Petrol,Manual,PB-02,"EMI ₹7,711/m*",₹5.06L₹4.37 lakh+ other charges,Chandigarh,
2018 Mahindra KUV 100 NXT, K2 D 6S,"68,448 km",Diesel,Manual,PB-42,"EMI ₹4,125/m*",₹2.83L₹2.11 lakh+ other charges,Chandigarh,
